t, x, y, d
1.49141, -0.333333, -1, 0
1.61865, -0.333333, -1, 0
1.72766, -0.333333, -1, 0
1.83607, -0.333333, -1, 0
1.94152, -0.333333, -1, 0
2.04458, -0.333333, -1, 0
2.14916, -0.333333, -1, 0
2.25402, -0.333333, -1, 0
2.35659, -0.333333, -1, 0
2.46012, -0.333333, -1, 0
2.56281, -0.333333, -1, 0
2.66781, -0.333333, -1, 0
2.77133, -0.333333, -1, 0
2.87467, -0.333333, -1, 0
2.98688, -0.333333, -1, 0
3.09636, -0.333333, -1, 0
3.19966, -0.333333, -1, 0
3.30507, -0.333333, -1, 0
3.40948, -0.333333, -1, 0
3.51214, -0.333333, -1, 0
3.6234, -0.333333, -1, 0
3.72971, -0.333333, -1, 0
3.83706, -0.333333, -1, 0
3.94303, -0.333333, -1, 0
4.04661, -0.333333, -1, 0
4.15733, -0.333333, -1, 0
4.27118, -0.333333, -1, 0
4.3829, -0.333333, -1, 0
4.49566, -0.333333, -1, 0
4.60953, -0.333333, -1, 0
4.72117, -0.333333, -1, 0
4.83106, -0.333333, -1, 0
4.94495, -0.333333, -1, 0
5.04907, -0.333333, -1, 0
5.15491, -0.333333, -1, 0
5.25984, -0.333333, -1, 0
5.36388, -0.333333, -1, 0
5.47178, -0.333333, -1, 0
5.57798, -0.333333, -1, 0
5.68432, -0.333333, -1, 0
5.78678, -0.333333, -1, 0
5.89141, -0.333333, -1, 0
5.99455, -0.333333, -1, 0
6.09988, -0.333333, -1, 0
6.20508, -0.333333, -1, 0
6.31218, -0.333333, -1, 0
6.4194, -0.333333, -1, 0
6.52267, -0.333333, -1, 0
6.6281, -0.333333, -1, 0
6.73191, -0.333333, -1, 0
6.83574, -0.333333, -1, 0
6.94071, -0.333333, -1, 0
7.04342, -0.333333, -1, 0
7.15116, -0.333333, -1, 0
7.25605, -0.333333, -1, 0
7.36405, -0.333333, -1, 0
7.46836, -0.333333, -1, 0
7.57339, -0.333333, -1, 0
7.67663, -0.333333, -1, 0
7.78193, -0.333333, -1, 0
7.88546, -0.333333, -1, 0
7.99036, -0.333333, -1, 0
8.09918, -0.333333, -1, 0
8.20236, -0.333333, -1, 0
8.30704, -0.333333, -1, 0
8.41218, -0.333333, -1, 0
8.51606, -0.333333, -1, 0
8.62149, -0.333333, -1, 0
8.72775, -0.333333, -1, 0
8.8321, -0.333333, -1, 0
8.93677, -0.333333, -1, 0
9.04261, -0.333333, -1, 0
9.14593, -0.333333, -1, 0
9.25063, -0.333333, -1, 0
9.35523, -0.333333, -1, 0
9.45933, -0.333333, -1, 0
9.56268, -0.333333, -1, 0
9.67041, -0.333333, -1, 0
9.77446, -0.333333, -1, 0
9.87968, -0.333333, -1, 0
9.98477, -0.333333, -1, 0
10.0891, -0.333333, -1, 0
10.192, -0.333333, -1, 0
10.2949, -0.333333, -1, 0
10.3983, -0.333333, -1, 0
10.5011, -0.333333, -1, 0
10.6048, -0.333333, -1, 0
10.7077, -0.333333, -1, 0
10.8122, -0.333333, -1, 0
10.9166, -0.333333, -1, 0
11.0215, -0.333333, -1, 0
11.126, -0.333333, -1, 0
11.232, -0.333333, -1, 0
11.3366, -0.333333, -1, 0
11.4407, -0.333333, -1, 0
11.5457, -0.333333, -1, 0
11.6516, -0.333333, -1, 0
11.7538, -0.466667, -0.18, 0
11.8573, -0.333333, -1, 0
11.9641, -0.333333, -1, 0
12.0684, -0.333333, -1, 0
12.1718, -0.333333, -1, 0
12.2761, -0.333333, -1, 0
12.3817, -0.333333, -1, 0
12.4866, -0.333333, -1, 0
12.5897, -0.333333, -1, 0
12.6925, -0.333333, -1, 0
12.7947, -0.333333, -1, 0
12.8982, -0.333333, -1, 0
13.0087, -0.333333, -1, 0
13.1125, -0.333333, -1, 0
13.217, -0.2, -0.375, 0
13.3208, -0.333333, -1, 0
13.4227, -0.333333, -1, 0
13.5272, -0.333333, -1, 0
13.6323, -0.333333, -1, 0
13.7365, -0.333333, -1, 0
13.8407, -0.333333, -1, 0
13.9485, -0.333333, -1, 0
14.0562, -0.333333, -1, 0
14.1614, -0.333333, -1, 0
14.2652, -0.333333, -1, 0
14.3704, -0.333333, -1, 0
14.474, -0.333333, -1, 0
14.5764, -0.333333, -1, 0
14.6803, -0.333333, -1, 0
14.7854, -0.333333, -1, 0
14.8899, -0.333333, -1, 0
14.9933, -0.333333, -1, 0
15.0977, -0.333333, -1, 0
15.2003, -0.333333, -1, 0
15.3043, -0.333333, -1, 0
15.4082, -0.333333, -1, 0
15.5131, -0.333333, -1, 0
15.6174, -0.333333, -1, 0
15.7209, -0.333333, -1, 0
15.8242, -0.333333, -1, 0
15.9295, -0.333333, -1, 0
16.0345, 0.933333, 0.225, 0
2695
16.1385, 0.859259, 0.105556, 2695
16.2427, 0.933333, -0.05, 0
16.3508, 0.933333, -0.1, 0
16.5602, 0.933333, -0.1, 0
16.6638, 0.9, -0.125, 0
16.7679, 0.8, -0.12, 0
16.8728, 0.822222, -0.175, 0
16.9758, 0.792157, -0.144118, 0
17.0804, 0.827778, -0.120833, 0
17.1882, 0.813333, -0.05, 0
2706
17.2934, 0.772549, -0.0147058, 2706
17.3986, 0.8, -0.07, 0
17.5032, 0.742222, -0.0866667, 0
17.6074, 0.683333, -0.1375, 0
17.711, 0.787302, -0.0547619, 0
17.8167, 0.783333, -0.0875, 0
17.9216, 0.8, -0.055, 0
18.0331, 0.8, -0.09375, 0
18.1374, 0.8, -0.1375, 0
18.2415, 0.8, -0.095, 0
18.346, 0.792593, -0.1, 0
18.4527, 0.792593, -0.133333, 0
18.5571, 0.783333, -0.1375, 0
18.6593, 0.792593, -0.0888889, 0
18.7633, 0.780952, -0.128571, 0
18.8673, 0.843478, -0.0304348, 0
2588
18.9708, 0.818018, -0.00540543, 2588
2781
5432
19.0762, 0.812, 0.0600001, 2716
2630
19.181, 0.85, 0.00625002, 2630
